School Name,Website,Phone Number
A+ Arts Academy,http://aplusarts.com,(614) 725-1305
A+ Children's Academy School District,http://apluschildrensacademy.org/,(614) 491-8502
Academy For Urban Scholars Youngstown School District,http://www.ausohio.com,(330) 744-9070
Academy for Urban Solutions,http://www.ausohio.com,(614) 545-9890
Academy Of Educational Excellence School District,http://aeetoledo.com,(419) 340-5666
Achieve Career Preparatory Academy,http://www.achieveprep.com,(419) 243-8559
AchievePoint Career Academy - Cincinnati,http://www.achievepoint.org,(513) 334-3607
AchievePoint Career Academy - Columbus,http://www.achievepoint.org,(614) 401-4769
Ada Exempted Village School District,http://ada.k12.oh.us/,(419) 634-6421
Adams County Ohio Valley Local School District,http://www.ohiovalley.k12.oh.us/,(937) 544-5586
Adena Local School District,http://www.adena.k12.oh.us/,(740) 998-4633
Akron City School District,http://www.akronschools.com/,(330) 761-1661
Akron Digital Academy,http://akrondigitalacademy.org/,(330) 237-2232
Akron Preparatory School School District,http://www.akronprep.org,(330) 247-6232
Akros Middle School,http://www.akros4kids.org/joomla/index.php,(330) 374-6704
Albert Einstein Academy For Letters Arts And Sciences-Ohio School District,http://www.aeaohio.org,(440) 471-4982
Alexander Local School District,http://www.alexanderschools.org/,(740) 698-8831
Allen East Local School District,http://www.ae.k12.oh.us/,(419) 648-3333
Alliance Academy Of Cincinnati,http://www.nhaschools.com/schools/alliance/en/pages/default,(513) 751-5555
Alliance City School District,http://www.alliancecityschools.org/,(330) 821-2100
Alternative Education Academy,http://www.ohdela.com,(330) 253-8680
Amanda-Clearcreek Local School District,http://www.amanda.k12.oh.us/,(740) 969-7250
Amherst Exempted Village School District,http://www.amherst.k12.oh.us/,(440) 988-4406
Anna Local School District,http://www.anna.k12.oh.us/,(937) 394-2011
Ansonia Local School District,http://www.ansonia.k12.oh.us/,(937) 337-4000
Anthony Wayne Local School District,http://www.anthonywayneschools.org,(419) 877-5377
Antwerp Local School District,http://www.aw.noacsc.org/,(419) 258-5421
Apex Academy,http://www.nhaschools.com/schools/apex/en/pages/default.aspx,(216) 451-1725
Apollo School District,,(419) 998-2909
Arcadia Local School District,http://www.arcadia.noacsc.org/,(419) 894-6431
Arcanum-Butler Local School District,http://www.arcanum-butler.k12.oh.us/,(937) 692-5174
Archbold-Area Local School District,http://www.archbold.k12.oh.us/,(419) 446-2728
Arlington Local School District,http://www.arlingtonlocalschools.com/,(419) 365-5121
Arts & College Preparatory Academy,http://artcollegeprep.org/,(614) 986-9974
Ashland City School District,http://ashlandcityschools.org/,(419) 289-1117
Ashland County Community Academy,http://www.accaaces.org/,(419) 903-0295
Ashland County-West Holmes School District,,(419) 289-3313
Ashtabula Area City School District,http://www.aacs.net/,(440) 992-1201
Ashtabula County Technical And Career Center,http://www.atech.edu,(440) 576-6015
Athens City School District,http://www.athenscsd.org,(740) 797-4544
Auburn School District,,(440) 358-8011
Auglaize County Educational Academy,http://www.aceva.org/,(419) 738-4572
Aurora Academy,http://auroraacademy-ohio.org,(419) 693-6841
Aurora City School District,http://www.aurora-schools.org/,(330) 562-6106
Austintown Local School District,http://www.austintownschools.org/,(330) 797-3900
Avon Lake City School District,http://www.avonlakecityschools.org/,(440) 933-6210
Avon Local School District,http://www.avonlocalschools.org/,(440) 937-4680
Ayersville Local School District,http://www.ayersville.org/,(419) 395-1111
Barberton City School District,http://www.barbertonschools.org/,(330) 753-1025
Barnesville Exempted Village School District,http://www.barnesville.k12.oh.us/,(740) 425-3615
Batavia Local School District,http://www.bataviaschools.org/,(513) 732-2343
Bath Local School District,http://www.bathwildcats.org/,(419) 221-0807
Bay Village City School District,http://www.bayvillageschools.com/,(440) 617-7300
Beachwood City School District,http://www.beachwoodschools.org/,(216) 464-2600
Beacon Academy School District,http://www.beaconacademyedu.org/,(330) 941-5852
Beacon Hill Academy,,(330) 359-5600
Beaver Local School District,http://www.beaver.k12.oh.us/,(330) 385-6831
Beavercreek City School District,http://www.beavercreek.k12.oh.us/,(937) 426-1522
Bedford City School District,http://www.bedford.k12.oh.us/,(440) 439-1500
Bella Academy Of Excellence,http://www.imaginebellaacademy.org/,(216) 481-1500
Bellaire Local School District,http://www.bellaire.k12.oh.us/,(740) 676-1826
Bellbrook-Sugarcreek Local School District,http://www.sugarcreek.k12.oh.us/,(937) 848-5001
Bellefontaine City School District,http://www.bellefontaine.k12.oh.us/,(937) 593-9060
Bellevue City School District,http://www.bellevueschools.org/,(419) 484-5000
Belmont-Harrison School District,http://bhccenters.com/,(740) 695-9130
Belpre City School District,http://www.belpre.k12.oh.us/,(740) 423-9511
Benjamin Logan Local School District,http://www.benjaminlogan.org,(937) 593-9211
Bennett Venture Academy,http://www.nhaschools.com/schools,(419) 269-2247
Benton Carroll Salem Local School District,http://www.bcs.k12.oh.us/,(419) 898-6210
Berea City School District,http://www.berea.k12.oh.us/,(216) 898-8300
Berkshire Local School District,http://www.berkshireschools.org/,(440) 834-3380
Berne Union Local School District,http://berne-union.k12.oh.us/,(740) 746-8341
Bethel Local School District,http://www.bethelk12.org,(937) 845-9414
Bethel-Tate Local School District,http://www.betheltate.org/,(513) 734-2271
Bexley City School District,http://www.bexleyschools.org/,(614) 231-7611
Big Walnut Local School District,http://www.bwls.net,(740) 965-3010
Bio-Med Science Academy Stem School School District,,(877) 644-6338
Black River Career Prep High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(440) 324-1755
Black River Local School District,http://www.blackriverschools.org/,(419) 736-3300
Blanchester Local School District,http://www.blanschools.org/,(937) 783-3523
